epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.13891,3.06258,3.51215,1.68437,0,0,0,0,0,0,0,0.00032,0.00032,0.00032
2,13.0631,2.18089,3.32371,1.22792,0,0,0,0,0,0,0,0.000646932,0.000646932,0.000646932
3,18.3113,2.0097,3.12254,1.11465,0,0,0,0,0,0,0,0.0009604,0.0009604,0.0009604
4,23.394,2.18647,3.03181,1.11288,0,0,0,0,0,0,0,0.0012604,0.0012604,0.0012604
5,28.5507,2.30929,2.94656,1.10126,0,0,0,0,0,0,0,0.00154694,0.00154694,0.00154694
6,33.7351,2.28008,2.87024,1.09391,0,0,0,0,0,0,0,0.001802,0.001802,0.001802
7,38.7957,2.26656,2.74214,1.09164,0,0,0,0,0,0,0,0.0017624,0.0017624,0.0017624
8,43.7899,2.27178,2.48414,1.06986,0,0,0,0,0,0,0,0.0017228,0.0017228,0.0017228
9,48.6878,2.25931,2.36321,1.0534,0,0,0,0,0,0,0,0.0016832,0.0016832,0.0016832
10,53.6172,2.13137,2.15911,1.05534,0,0,0,0,0,0,0,0.0016436,0.0016436,0.0016436
11,58.6383,2.05978,1.96104,1.01234,0,0,0,0,0,0,0,0.001604,0.001604,0.001604
12,63.5925,2.10491,1.9658,1.00684,0,0,0,0,0,0,0,0.0015644,0.0015644,0.0015644
13,68.6977,2.30204,1.91267,1.00156,0,0,0,0,0,0,0,0.0015248,0.0015248,0.0015248
14,73.6851,2.21422,1.80357,1.0094,0,0,0,0,0,0,0,0.0014852,0.0014852,0.0014852
15,78.7255,2.07009,1.56245,0.99843,0,0,0,0,0,0,0,0.0014456,0.0014456,0.0014456
16,83.7928,2.02932,1.55165,0.99489,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
17,88.9052,2.09757,1.47981,0.9724,0,0,0,0,0,0,0,0.0013664,0.0013664,0.0013664
18,94.0375,2.20964,1.55312,0.97553,0,0,0,0,0,0,0,0.0013268,0.0013268,0.0013268
19,98.9763,1.94161,1.37293,0.96565,0,0,0,0,0,0,0,0.0012872,0.0012872,0.0012872
20,104.104,1.96497,1.28877,0.96876,0,0,0,0,0,0,0,0.0012476,0.0012476,0.0012476
21,109.101,2.0407,1.21453,0.95598,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
22,114.373,2.02287,1.28484,0.95578,0,0,0,0,0,0,0,0.0011684,0.0011684,0.0011684
23,119.43,2.07493,1.27611,0.96118,0,0,0,0,0,0,0,0.0011288,0.0011288,0.0011288
24,124.596,1.95133,1.24068,0.95266,0,0,0,0,0,0,0,0.0010892,0.0010892,0.0010892
25,129.762,2.07118,1.26138,0.95419,0,0,0,0,0,0,0,0.0010496,0.0010496,0.0010496
26,134.964,2.04501,1.15042,0.94626,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
27,140.011,2.03822,1.14342,0.95036,0,0,0,0,0,0,0,0.0009704,0.0009704,0.0009704
28,145.204,1.82355,1.13442,0.94333,0,0,0,0,0,0,0,0.0009308,0.0009308,0.0009308
29,150.348,1.96982,1.16449,0.94912,0,0,0,0,0,0,0,0.0008912,0.0008912,0.0008912
30,155.307,1.75732,0.97453,0.93322,0,0,0,0,0,0,0,0.0008516,0.0008516,0.0008516
31,160.468,1.96817,1.12056,0.94259,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
32,165.642,1.77127,1.03801,0.93672,0,0,0,0,0,0,0,0.0007724,0.0007724,0.0007724
33,170.77,1.87824,0.98057,0.92932,0,0,0,0,0,0,0,0.0007328,0.0007328,0.0007328
34,175.966,1.8444,0.95431,0.9295,0,0,0,0,0,0,0,0.0006932,0.0006932,0.0006932
35,181.189,1.92997,1.12896,0.92872,0,0,0,0,0,0,0,0.0006536,0.0006536,0.0006536
36,186.127,1.71975,0.97304,0.93973,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
37,191.158,1.74837,0.95846,0.92574,0,0,0,0,0,0,0,0.0005744,0.0005744,0.0005744
38,196.051,1.7164,0.94692,0.92913,0,0,0,0,0,0,0,0.0005348,0.0005348,0.0005348
39,201.191,1.75035,0.8996,0.91477,0,0,0,0,0,0,0,0.0004952,0.0004952,0.0004952
40,206.21,1.66472,0.90594,0.90897,0,0,0,0,0,0,0,0.0004556,0.0004556,0.0004556
41,266.891,1.74976,1.1201,0.92854,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
42,272.273,1.85862,1.01298,0.92287,0,0,0,0,0,0,0,0.0003764,0.0003764,0.0003764
43,277.105,1.50802,0.97706,0.91071,0,0,0,0,0,0,0,0.0003368,0.0003368,0.0003368
44,282.021,1.62182,0.99731,0.91983,0,0,0,0,0,0,0,0.0002972,0.0002972,0.0002972
45,287.017,1.60583,0.92829,0.91157,0,0,0,0,0,0,0,0.0002576,0.0002576,0.0002576
46,291.882,1.70643,0.95245,0.91435,0,0,0,0,0,0,0,0.000218,0.000218,0.000218
47,296.82,1.6322,0.93507,0.91359,0,0,0,0,0,0,0,0.0001784,0.0001784,0.0001784
48,301.815,1.60459,1.02022,0.90706,0,0,0,0,0,0,0,0.0001388,0.0001388,0.0001388
49,306.651,1.61976,0.95666,0.91595,0,0,0,0,0,0,0,9.92e-05,9.92e-05,9.92e-05
50,314.7,1.5922,0.93672,0.91963,0.39301,0.21666,0.25391,0.19126,nan,nan,nan,5.96e-05,5.96e-05,5.96e-05
